currency,value,rated_at
VEF,5.55,2012-01-22
ARS,5.63,2012-01-23
BRL,2.28,2012-01-23
CLP,639.19,2012-01-23
COP,2369.93,2012-01-23
CRC,660.66,2012-01-23
DOP,50.62,2012-01-23
EUR,1.0,2012-01-23
MXN,17.11,2012-01-23
PEN,3.51,2012-01-23
PYG,6068.16,2012-01-23
USD,1.3,2012-01-23
UYU,25.41,2012-01-23
VEF,5.59,2012-01-23
ARS,5.64,2012-01-24
BRL,2.29,2012-01-24
CLP,639.25,2012-01-24
COP,2361.21,2012-01-24
CRC,661.03,2012-01-24
DOP,50.6,2012-01-24
EUR,1.0,2012-01-24
MXN,17.16,2012-01-24
PEN,3.5,2012-01-24
PYG,6055.19,2012-01-24
USD,1.3,2012-01-24
UYU,25.37,2012-01-24
VEF,5.59,2012-01-24
ARS,5.65,2012-01-25
BRL,2.3,2012-01-25
CLP,643.65,2012-01-25
COP,2367.38,2012-01-25
CRC,668.27,2012-01-25
DOP,50.51,2012-01-25
EUR,1.0,2012-01-25
MXN,17.12,2012-01-25
PEN,3.51,2012-01-25
PYG,6100.22,2012-01-25
USD,1.3,2012-01-25
UYU,25.58,2012-01-25
VEF,5.6,2012-01-25
ARS,5.69,2012-01-26
BRL,2.28,2012-01-26
CLP,641.98,2012-01-26
COP,2372.85,2012-01-26
CRC,670.31,2012-01-26
DOP,50.82,2012-01-26
EUR,1.0,2012-01-26
MXN,16.99,2012-01-26
PEN,3.53,2012-01-26
PYG,6145.33,2012-01-26
USD,1.31,2012-01-26
UYU,25.66,2012-01-26
VEF,5.64,2012-01-26
ARS,5.72,2012-01-27
BRL,2.3,2012-01-27
CLP,641.65,2012-01-27
COP,2388.08,2012-01-27
CRC,668.08,2012-01-27
DOP,51.22,2012-01-27
EUR,1.0,2012-01-27
MXN,17.06,2012-01-27
PEN,3.55,2012-01-27
PYG,6202.05,2012-01-27
USD,1.32,2012-01-27
UYU,25.67,2012-01-27
VEF,5.66,2012-01-27
ARS,5.71,2012-01-28
BRL,2.3,2012-01-28
CLP,640.85,2012-01-28
COP,2385.93,2012-01-28
CRC,667.39,2012-01-28
DOP,51.17,2012-01-28
EUR,1.0,2012-01-28
MXN,17.04,2012-01-28
PEN,3.55,2012-01-28
PYG,6195.63,2012-01-28
USD,1.32,2012-01-28
UYU,25.69,2012-01-28
VEF,5.66,2012-01-28
ARS,5.71,2012-01-29
BRL,2.3,2012-01-29
CLP,640.85,2012-01-29
COP,2385.93,2012-01-29
CRC,667.39,2012-01-29
DOP,51.17,2012-01-29
EUR,1.0,2012-01-29
MXN,17.04,2012-01-29
PEN,3.55,2012-01-29
PYG,6195.63,2012-01-29
USD,1.32,2012-01-29
UYU,25.69,2012-01-29
VEF,5.66,2012-01-29
ARS,5.69,2012-01-30
BRL,2.3,2012-01-30
CLP,639.84,2012-01-30
COP,2376.86,2012-01-30
CRC,662.22,2012-01-30
DOP,50.88,2012-01-30
EUR,1.0,2012-01-30
MXN,17.04,2012-01-30
PEN,3.53,2012-01-30
PYG,6191.64,2012-01-30
USD,1.31,2012-01-30
UYU,25.61,2012-01-30
VEF,5.63,2012-01-30
ARS,5.68,2012-01-31
BRL,2.28,2012-01-31
CLP,641.62,2012-01-31
COP,2365.4,2012-01-31
CRC,662.74,2012-01-31
DOP,50.84,2012-01-31
EUR,1.0,2012-01-31
MXN,16.99,2012-01-31
PEN,3.52,2012-01-31
PYG,6190.08,2012-01-31
USD,1.31,2012-01-31
UYU,25.59,2012-01-31
VEF,5.62,2012-01-31
ARS,5.71,2012-02-01
BRL,2.29,2012-02-01
CLP,642.87,2012-02-01
COP,2370.26,2012-02-01
CRC,669.7,2012-02-01
DOP,51.15,2012-02-01
EUR,1.0,2012-02-01
MXN,17.04,2012-02-01
PEN,3.54,2012-02-01
PYG,6223.89,2012-02-01
USD,1.32,2012-02-01
UYU,25.75,2012-02-01
VEF,5.66,2012-02-01
ARS,5.7,2012-02-02
BRL,2.27,2012-02-02
CLP,634.97,2012-02-02
COP,2362.59,2012-02-02
CRC,675.06,2012-02-02
DOP,51.03,2012-02-02
EUR,1.0,2012-02-02
MXN,16.9,2012-02-02
PEN,3.54,2012-02-02
PYG,6171.37,2012-02-02
USD,1.31,2012-02-02
UYU,25.56,2012-02-02
VEF,5.64,2012-02-02
ARS,5.69,2012-02-03
BRL,2.26,2012-02-03
CLP,628.17,2012-02-03
COP,2345.94,2012-02-03
CRC,669.65,2012-02-03
DOP,50.9,2012-02-03
EUR,1.0,2012-02-03
MXN,16.77,2012-02-03
PEN,3.53,2012-02-03
PYG,6102.23,2012-02-03
USD,1.31,2012-02-03
UYU,25.48,2012-02-03
VEF,5.64,2012-02-03
ARS,5.7,2012-02-04
BRL,2.27,2012-02-04
CLP,629.25,2012-02-04
COP,2349.97,2012-02-04
CRC,670.8,2012-02-04
DOP,50.99,2012-02-04
EUR,1.0,2012-02-04
MXN,16.78,2012-02-04
PEN,3.54,2012-02-04
PYG,6112.7,2012-02-04
USD,1.32,2012-02-04
UYU,25.53,2012-02-04
VEF,5.66,2012-02-04
ARS,5.7,2012-02-05
BRL,2.27,2012-02-05
CLP,629.25,2012-02-05
COP,2349.97,2012-02-05
CRC,670.8,2012-02-05
DOP,50.99,2012-02-05
EUR,1.0,2012-02-05
MXN,16.78,2012-02-05
PEN,3.54,2012-02-05
PYG,6112.7,2012-02-05
USD,1.32,2012-02-05
UYU,25.53,2012-02-05
VEF,5.66,2012-02-05
ARS,5.68,2012-02-06
BRL,2.26,2012-02-06
CLP,630.76,2012-02-06
COP,2345.93,2012-02-06
CRC,665.71,2012-02-06
DOP,50.85,2012-02-06
EUR,1.0,2012-02-06
MXN,16.63,2012-02-06
PEN,3.53,2012-02-06
PYG,5822.83,2012-02-06
USD,1.31,2012-02-06
UYU,25.44,2012-02-06
VEF,5.63,2012-02-06
ARS,5.73,2012-02-07
BRL,2.28,2012-02-07
CLP,632.97,2012-02-07
COP,2357.65,2012-02-07
CRC,671.2,2012-02-07
DOP,51.21,2012-02-07
EUR,1.0,2012-02-07
MXN,16.76,2012-02-07
PEN,3.56,2012-02-07
PYG,5931.22,2012-02-07
USD,1.32,2012-02-07
UYU,25.66,2012-02-07
VEF,5.68,2012-02-07
ARS,5.75,2012-02-08
BRL,2.28,2012-02-08
CLP,633.5,2012-02-08
COP,2358.14,2012-02-08
CRC,672.94,2012-02-08
DOP,51.51,2012-02-08
EUR,1.0,2012-02-08
MXN,16.82,2012-02-08
PEN,3.56,2012-02-08
PYG,5887.03,2012-02-08
USD,1.33,2012-02-08
UYU,25.75,2012-02-08
VEF,5.69,2012-02-08
ARS,5.77,2012-02-09
BRL,2.29,2012-02-09
CLP,634.95,2012-02-09
COP,2360.67,2012-02-09
CRC,676.78,2012-02-09
DOP,51.62,2012-02-09
EUR,1.0,2012-02-09
MXN,16.88,2012-02-09
PEN,3.57,2012-02-09
PYG,5923.73,2012-02-09
USD,1.33,2012-02-09
UYU,25.74,2012-02-09
VEF,5.7,2012-02-09
ARS,5.73,2012-02-10
BRL,2.28,2012-02-10
CLP,631.89,2012-02-10
COP,2347.61,2012-02-10
CRC,672.36,2012-02-10
DOP,51.28,2012-02-10
EUR,1.0,2012-02-10
MXN,16.88,2012-02-10
PEN,3.54,2012-02-10
PYG,5953.85,2012-02-10
USD,1.32,2012-02-10
UYU,25.48,2012-02-10
VEF,5.66,2012-02-10
ARS,5.73,2012-02-11
BRL,2.28,2012-02-11
CLP,632.19,2012-02-11
COP,2348.71,2012-02-11
CRC,672.67,2012-02-11
DOP,51.3,2012-02-11
EUR,1.0,2012-02-11
MXN,16.89,2012-02-11
PEN,3.54,2012-02-11
PYG,5956.63,2012-02-11
USD,1.32,2012-02-11
UYU,25.49,2012-02-11
VEF,5.67,2012-02-11
ARS,5.73,2012-02-12
BRL,2.28,2012-02-12
CLP,632.19,2012-02-12
COP,2348.71,2012-02-12
CRC,672.67,2012-02-12
DOP,51.3,2012-02-12
EUR,1.0,2012-02-12
MXN,16.89,2012-02-12
PEN,3.54,2012-02-12
PYG,5956.63,2012-02-12
USD,1.32,2012-02-12
UYU,25.49,2012-02-12
VEF,5.67,2012-02-12
ARS,5.74,2012-02-13
BRL,2.27,2012-02-13
CLP,631.27,2012-02-13
COP,2346.32,2012-02-13
CRC,672.34,2012-02-13
DOP,51.31,2012-02-13
EUR,1.0,2012-02-13
MXN,16.79,2012-02-13
PEN,3.54,2012-02-13
PYG,5965.22,2012-02-13
USD,1.32,2012-02-13
UYU,25.58,2012-02-13
VEF,5.67,2012-02-13
ARS,5.71,2012-02-14
BRL,2.26,2012-02-14
CLP,634.98,2012-02-14
COP,2349.82,2012-02-14
CRC,668.88,2012-02-14
DOP,51.04,2012-02-14
EUR,1.0,2012-02-14
MXN,16.75,2012-02-14
PEN,3.53,2012-02-14
PYG,5961.2,2012-02-14
USD,1.31,2012-02-14
UYU,25.49,2012-02-14
VEF,5.64,2012-02-14
ARS,5.69,2012-02-15
BRL,2.25,2012-02-15
CLP,633.6,2012-02-15
COP,2345.31,2012-02-15
CRC,665.16,2012-02-15
DOP,50.95,2012-02-15
EUR,1.0,2012-02-15
MXN,16.7,2012-02-15
PEN,3.51,2012-02-15
PYG,5708.82,2012-02-15
USD,1.31,2012-02-15
UYU,25.39,2012-02-15
VEF,5.62,2012-02-15
ARS,5.7,2012-02-16
BRL,2.27,2012-02-16
CLP,637.95,2012-02-16
COP,2352.72,2012-02-16
CRC,667.28,2012-02-16
DOP,50.95,2012-02-16
EUR,1.0,2012-02-16
MXN,16.9,2012-02-16
PEN,3.52,2012-02-16
PYG,5750.58,2012-02-16
USD,1.31,2012-02-16
UYU,25.46,2012-02-16
VEF,5.63,2012-02-16
ARS,5.72,2012-02-17
BRL,2.25,2012-02-17
CLP,636.52,2012-02-17
COP,2339.49,2012-02-17
CRC,669.03,2012-02-17
DOP,51.17,2012-02-17
EUR,1.0,2012-02-17
MXN,16.83,2012-02-17
PEN,3.53,2012-02-17
PYG,5804.86,2012-02-17
USD,1.32,2012-02-17
UYU,25.52,2012-02-17
VEF,5.65,2012-02-17
ARS,5.72,2012-02-18
BRL,2.25,2012-02-18
CLP,636.52,2012-02-18
COP,2339.52,2012-02-18
CRC,669.04,2012-02-18
DOP,51.17,2012-02-18
EUR,1.0,2012-02-18
MXN,16.81,2012-02-18
PEN,3.53,2012-02-18
PYG,5804.93,2012-02-18
USD,1.32,2012-02-18
UYU,25.52,2012-02-18
VEF,5.65,2012-02-18
ARS,5.72,2012-02-19
BRL,2.25,2012-02-19
CLP,636.52,2012-02-19
COP,2339.52,2012-02-19
CRC,669.04,2012-02-19
DOP,51.17,2012-02-19
EUR,1.0,2012-02-19
MXN,16.81,2012-02-19
PEN,3.53,2012-02-19
PYG,5804.93,2012-02-19
USD,1.32,2012-02-19
UYU,25.52,2012-02-19
VEF,5.65,2012-02-19
ARS,5.77,2012-02-20
BRL,2.27,2012-02-20
CLP,638.97,2012-02-20
COP,2346.46,2012-02-20
CRC,673.77,2012-02-20
DOP,51.56,2012-02-20
EUR,1.0,2012-02-20
MXN,16.82,2012-02-20
PEN,3.55,2012-02-20
PYG,5893.75,2012-02-20
USD,1.32,2012-02-20
UYU,25.77,2012-02-20
VEF,5.69,2012-02-20
ARS,5.76,2012-02-21
BRL,2.27,2012-02-21
CLP,637.79,2012-02-21
COP,2354.57,2012-02-21
CRC,675.45,2012-02-21
DOP,51.6,2012-02-21
EUR,1.0,2012-02-21
MXN,16.88,2012-02-21
PEN,3.55,2012-02-21
PYG,5755.66,2012-02-21
USD,1.32,2012-02-21
UYU,25.69,2012-02-21
VEF,5.68,2012-02-21
ARS,5.77,2012-02-22
BRL,2.27,2012-02-22
CLP,639.25,2012-02-22
COP,2357.52,2012-02-22
CRC,676.77,2012-02-22
DOP,51.48,2012-02-22
EUR,1.0,2012-02-22
MXN,16.99,2012-02-22
PEN,3.55,2012-02-22
PYG,5756.08,2012-02-22
USD,1.32,2012-02-22
UYU,25.64,2012-02-22
VEF,5.69,2012-02-22
ARS,5.81,2012-02-23
BRL,2.28,2012-02-23
CLP,642.03,2012-02-23
COP,2372.64,2012-02-23
CRC,683.21,2012-02-23
DOP,51.96,2012-02-23
EUR,1.0,2012-02-23
MXN,17.07,2012-02-23
PEN,3.58,2012-02-23
PYG,5856.48,2012-02-23
USD,1.33,2012-02-23
UYU,25.88,2012-02-23
VEF,5.73,2012-02-23
ARS,5.86,2012-02-24
BRL,2.3,2012-02-24
CLP,644.48,2012-02-24
COP,2384.76,2012-02-24
CRC,689.47,2012-02-24
DOP,52.36,2012-02-24
EUR,1.0,2012-02-24
MXN,17.29,2012-02-24
PEN,3.61,2012-02-24
PYG,5900.0,2012-02-24
USD,1.35,2012-02-24
UYU,26.1,2012-02-24
VEF,5.77,2012-02-24
ARS,5.85,2012-02-25
BRL,2.3,2012-02-25
CLP,643.41,2012-02-25
COP,2380.83,2012-02-25
CRC,688.33,2012-02-25
DOP,52.28,2012-02-25
EUR,1.0,2012-02-25
MXN,17.27,2012-02-25
PEN,3.6,2012-02-25
PYG,5890.28,2012-02-25
USD,1.34,2012-02-25
UYU,26.05,2012-02-25
VEF,5.77,2012-02-25
ARS,5.85,2012-02-26
BRL,2.3,2012-02-26
CLP,643.41,2012-02-26
COP,2380.83,2012-02-26
CRC,688.33,2012-02-26
DOP,52.28,2012-02-26
EUR,1.0,2012-02-26
MXN,17.27,2012-02-26
PEN,3.6,2012-02-26
PYG,5890.28,2012-02-26
USD,1.34,2012-02-26
UYU,26.05,2012-02-26
VEF,5.77,2012-02-26
ARS,5.84,2012-02-27
BRL,2.31,2012-02-27
CLP,648.33,2012-02-27
COP,2392.43,2012-02-27
CRC,682.21,2012-02-27
DOP,52.05,2012-02-27
EUR,1.0,2012-02-27
MXN,17.26,2012-02-27
PEN,3.58,2012-02-27
PYG,5805.15,2012-02-27
USD,1.34,2012-02-27
UYU,25.99,2012-02-27
VEF,5.75,2012-02-27
ARS,5.86,2012-02-28
BRL,2.31,2012-02-28
CLP,646.92,2012-02-28
COP,2396.09,2012-02-28
CRC,684.41,2012-02-28
DOP,52.38,2012-02-28
EUR,1.0,2012-02-28
MXN,17.25,2012-02-28
PEN,3.59,2012-02-28
PYG,5851.64,2012-02-28
USD,1.34,2012-02-28
UYU,26.15,2012-02-28
VEF,5.77,2012-02-28
ARS,5.82,2012-02-29
BRL,2.31,2012-02-29
CLP,643.92,2012-02-29
COP,2376.76,2012-02-29
CRC,679.54,2012-02-29
DOP,51.72,2012-02-29
EUR,1.0,2012-02-29
MXN,17.07,2012-02-29
PEN,3.57,2012-02-29
PYG,5702.56,2012-02-29
