currency,value,rated_at
CRC,591.95,2015-07-28
DOP,49.86,2015-07-28
EUR,1.0,2015-07-28
MXN,18.0,2015-07-28
PEN,3.52,2015-07-28
PYG,5721.88,2015-07-28
USD,1.11,2015-07-28
UYU,31.36,2015-07-28
VEF,6.99,2015-07-28
ARS,10.09,2015-07-29
BRL,3.66,2015-07-29
CLP,731.9,2015-07-29
COP,3130.64,2015-07-29
CRC,587.82,2015-07-29
DOP,49.52,2015-07-29
EUR,1.0,2015-07-29
MXN,17.89,2015-07-29
PEN,3.5,2015-07-29
PYG,5685.95,2015-07-29
USD,1.1,2015-07-29
UYU,31.16,2015-07-29
VEF,6.94,2015-07-29
ARS,10.05,2015-07-30
BRL,3.68,2015-07-30
CLP,734.05,2015-07-30
COP,3136.85,2015-07-30
CRC,585.04,2015-07-30
DOP,49.26,2015-07-30
EUR,1.0,2015-07-30
MXN,17.79,2015-07-30
PEN,3.49,2015-07-30
PYG,5664.38,2015-07-30
USD,1.09,2015-07-30
UYU,31.12,2015-07-30
VEF,6.91,2015-07-30
ARS,10.1,2015-07-31
BRL,3.74,2015-07-31
CLP,739.6,2015-07-31
COP,3156.36,2015-07-31
CRC,588.59,2015-07-31
DOP,49.55,2015-07-31
EUR,1.0,2015-07-31
MXN,17.76,2015-07-31
PEN,3.5,2015-07-31
PYG,5698.98,2015-07-31
USD,1.1,2015-07-31
UYU,31.3,2015-07-31
VEF,6.95,2015-07-31
ARS,10.11,2015-08-01
BRL,3.75,2015-08-01
CLP,740.3,2015-08-01
COP,3159.91,2015-08-01
CRC,588.59,2015-08-01
DOP,49.56,2015-08-01
EUR,1.0,2015-08-01
MXN,17.73,2015-08-01
PEN,3.5,2015-08-01
PYG,5691.03,2015-08-01
USD,1.1,2015-08-01
UYU,31.29,2015-08-01
VEF,6.95,2015-08-01
ARS,10.09,2015-08-02
BRL,3.76,2015-08-02
CLP,739.82,2015-08-02
COP,3160.91,2015-08-02
CRC,587.09,2015-08-02
DOP,49.48,2015-08-02
EUR,1.0,2015-08-02
MXN,17.67,2015-08-02
PEN,3.5,2015-08-02
PYG,5694.04,2015-08-02
USD,1.1,2015-08-02
UYU,31.24,2015-08-02
VEF,6.94,2015-08-02
ARS,10.08,2015-08-03
BRL,3.78,2015-08-03
CLP,743.83,2015-08-03
COP,3182.57,2015-08-03
CRC,585.62,2015-08-03
DOP,49.37,2015-08-03
EUR,1.0,2015-08-03
MXN,17.71,2015-08-03
PEN,3.49,2015-08-03
PYG,5695.25,2015-08-03
USD,1.1,2015-08-03
UYU,31.22,2015-08-03
VEF,6.92,2015-08-03
ARS,10.02,2015-08-04
BRL,3.77,2015-08-04
CLP,741.44,2015-08-04
COP,3167.88,2015-08-04
CRC,581.83,2015-08-04
DOP,49.13,2015-08-04
EUR,1.0,2015-08-04
MXN,17.71,2015-08-04
PEN,3.48,2015-08-04
PYG,5666.57,2015-08-04
USD,1.09,2015-08-04
UYU,31.03,2015-08-04
VEF,6.88,2015-08-04
ARS,10.04,2015-08-05
BRL,3.79,2015-08-05
CLP,742.94,2015-08-05
COP,3196.39,2015-08-05
CRC,581.74,2015-08-05
DOP,49.14,2015-08-05
EUR,1.0,2015-08-05
MXN,17.79,2015-08-05
PEN,3.49,2015-08-05
PYG,5636.21,2015-08-05
USD,1.09,2015-08-05
UYU,31.06,2015-08-05
VEF,6.89,2015-08-05
ARS,10.06,2015-08-06
BRL,3.85,2015-08-06
CLP,742.75,2015-08-06
COP,3212.57,2015-08-06
CRC,583.84,2015-08-06
DOP,49.31,2015-08-06
EUR,1.0,2015-08-06
MXN,17.83,2015-08-06
PEN,3.5,2015-08-06
PYG,5686.74,2015-08-06
USD,1.09,2015-08-06
UYU,31.16,2015-08-06
VEF,6.91,2015-08-06
ARS,10.12,2015-08-07
BRL,3.85,2015-08-07
CLP,744.2,2015-08-07
COP,3226.56,2015-08-07
CRC,585.23,2015-08-07
DOP,49.46,2015-08-07
EUR,1.0,2015-08-07
MXN,17.77,2015-08-07
PEN,3.51,2015-08-07
PYG,5695.08,2015-08-07
USD,1.1,2015-08-07
UYU,31.23,2015-08-07
VEF,6.93,2015-08-07
ARS,10.12,2015-08-08
BRL,3.85,2015-08-08
CLP,743.58,2015-08-08
COP,3223.45,2015-08-08
CRC,585.29,2015-08-08
DOP,49.47,2015-08-08
EUR,1.0,2015-08-08
MXN,17.75,2015-08-08
PEN,3.51,2015-08-08
PYG,5696.01,2015-08-08
USD,1.1,2015-08-08
UYU,31.21,2015-08-08
VEF,6.93,2015-08-08
ARS,10.12,2015-08-09
BRL,3.85,2015-08-09
CLP,743.42,2015-08-09
COP,3221.87,2015-08-09
CRC,585.31,2015-08-09
DOP,49.47,2015-08-09
EUR,1.0,2015-08-09
MXN,17.72,2015-08-09
PEN,3.51,2015-08-09
PYG,5703.73,2015-08-09
USD,1.1,2015-08-09
UYU,31.21,2015-08-09
VEF,6.93,2015-08-09
ARS,10.16,2015-08-10
BRL,3.8,2015-08-10
CLP,743.05,2015-08-10
COP,3215.22,2015-08-10
CRC,588.04,2015-08-10
DOP,49.69,2015-08-10
EUR,1.0,2015-08-10
MXN,17.81,2015-08-10
PEN,3.53,2015-08-10
PYG,5727.01,2015-08-10
USD,1.1,2015-08-10
UYU,31.34,2015-08-10
VEF,6.96,2015-08-10
ARS,10.19,2015-08-11
BRL,3.84,2015-08-11
CLP,751.5,2015-08-11
COP,3242.87,2015-08-11
CRC,589.32,2015-08-11
DOP,49.88,2015-08-11
EUR,1.0,2015-08-11
MXN,17.98,2015-08-11
PEN,3.55,2015-08-11
PYG,5741.26,2015-08-11
USD,1.1,2015-08-11
UYU,31.41,2015-08-11
VEF,6.98,2015-08-11
ARS,10.3,2015-08-12
BRL,3.88,2015-08-12
CLP,760.62,2015-08-12
COP,3273.01,2015-08-12
CRC,594.82,2015-08-12
DOP,50.28,2015-08-12
EUR,1.0,2015-08-12
MXN,18.14,2015-08-12
PEN,3.59,2015-08-12
PYG,5803.63,2015-08-12
USD,1.12,2015-08-12
UYU,31.68,2015-08-12
VEF,7.05,2015-08-12
ARS,10.3,2015-08-13
BRL,3.92,2015-08-13
CLP,763.83,2015-08-13
COP,3279.63,2015-08-13
CRC,595.14,2015-08-13
DOP,50.35,2015-08-13
EUR,1.0,2015-08-13
MXN,18.28,2015-08-13
PEN,3.6,2015-08-13
PYG,5820.26,2015-08-13
USD,1.12,2015-08-13
UYU,31.72,2015-08-13
VEF,7.05,2015-08-13
ARS,10.26,2015-08-14
BRL,3.87,2015-08-14
CLP,760.9,2015-08-14
COP,3306.98,2015-08-14
CRC,594.04,2015-08-14
DOP,50.1,2015-08-14
EUR,1.0,2015-08-14
MXN,18.18,2015-08-14
PEN,3.6,2015-08-14
PYG,5805.75,2015-08-14
USD,1.11,2015-08-14
UYU,31.64,2015-08-14
VEF,7.02,2015-08-14
ARS,10.26,2015-08-15
BRL,3.87,2015-08-15
CLP,760.75,2015-08-15
COP,3308.85,2015-08-15
CRC,594.08,2015-08-15
DOP,50.08,2015-08-15
EUR,1.0,2015-08-15
MXN,18.2,2015-08-15
PEN,3.6,2015-08-15
PYG,5811.36,2015-08-15
USD,1.11,2015-08-15
UYU,31.64,2015-08-15
VEF,7.02,2015-08-15
ARS,10.26,2015-08-16
BRL,3.87,2015-08-16
CLP,760.71,2015-08-16
COP,3323.5,2015-08-16
CRC,593.98,2015-08-16
DOP,50.09,2015-08-16
EUR,1.0,2015-08-16
MXN,18.19,2015-08-16
PEN,3.6,2015-08-16
PYG,5824.35,2015-08-16
USD,1.11,2015-08-16
UYU,31.71,2015-08-16
VEF,7.02,2015-08-16
ARS,10.25,2015-08-17
BRL,3.86,2015-08-17
CLP,763.73,2015-08-17
COP,3319.26,2015-08-17
CRC,591.19,2015-08-17
DOP,49.86,2015-08-17
EUR,1.0,2015-08-17
MXN,18.19,2015-08-17
PEN,3.59,2015-08-17
PYG,5808.23,2015-08-17
USD,1.11,2015-08-17
UYU,31.57,2015-08-17
VEF,7.0,2015-08-17
ARS,10.2,2015-08-18
BRL,3.83,2015-08-18
CLP,762.67,2015-08-18
COP,3310.14,2015-08-18
CRC,588.13,2015-08-18
DOP,49.77,2015-08-18
EUR,1.0,2015-08-18
MXN,18.09,2015-08-18
PEN,3.58,2015-08-18
PYG,5781.0,2015-08-18
USD,1.1,2015-08-18
UYU,31.42,2015-08-18
VEF,6.97,2015-08-18
ARS,10.3,2015-08-19
BRL,3.88,2015-08-19
CLP,773.07,2015-08-19
COP,3351.53,2015-08-19
CRC,592.48,2015-08-19
DOP,50.04,2015-08-19
EUR,1.0,2015-08-19
MXN,18.43,2015-08-19
PEN,3.62,2015-08-19
PYG,5834.74,2015-08-19
USD,1.11,2015-08-19
UYU,31.67,2015-08-19
VEF,7.03,2015-08-19
ARS,10.4,2015-08-20
BRL,3.89,2015-08-20
CLP,776.3,2015-08-20
COP,3418.41,2015-08-20
CRC,598.7,2015-08-20
DOP,50.52,2015-08-20
EUR,1.0,2015-08-20
MXN,18.79,2015-08-20
PEN,3.67,2015-08-20
PYG,5903.88,2015-08-20
USD,1.12,2015-08-20
UYU,32.04,2015-08-20
VEF,7.1,2015-08-20
ARS,10.55,2015-08-21
BRL,3.98,2015-08-21
CLP,793.59,2015-08-21
COP,3499.45,2015-08-21
CRC,606.61,2015-08-21
DOP,51.23,2015-08-21
EUR,1.0,2015-08-21
MXN,19.27,2015-08-21
PEN,3.72,2015-08-21
PYG,5995.47,2015-08-21
USD,1.14,2015-08-21
UYU,32.43,2015-08-21
VEF,7.2,2015-08-21
ARS,10.55,2015-08-22
BRL,3.98,2015-08-22
CLP,794.38,2015-08-22
COP,3511.05,2015-08-22
CRC,606.69,2015-08-22
DOP,51.24,2015-08-22
EUR,1.0,2015-08-22
MXN,19.32,2015-08-22
PEN,3.72,2015-08-22
PYG,6001.73,2015-08-22
USD,1.14,2015-08-22
UYU,32.44,2015-08-22
VEF,7.2,2015-08-22
ARS,10.55,2015-08-23
BRL,3.99,2015-08-23
CLP,794.91,2015-08-23
COP,3521.64,2015-08-23
CRC,606.99,2015-08-23
DOP,51.23,2015-08-23
EUR,1.0,2015-08-23
MXN,19.35,2015-08-23
PEN,3.73,2015-08-23
PYG,6008.75,2015-08-23
USD,1.14,2015-08-23
UYU,32.48,2015-08-23
VEF,7.2,2015-08-23
ARS,10.75,2015-08-24
BRL,4.11,2015-08-24
CLP,814.8,2015-08-24
COP,3688.01,2015-08-24
CRC,618.21,2015-08-24
DOP,52.16,2015-08-24
EUR,1.0,2015-08-24
MXN,19.88,2015-08-24
PEN,3.8,2015-08-24
PYG,6119.41,2015-08-24
USD,1.16,2015-08-24
UYU,33.05,2015-08-24
VEF,7.33,2015-08-24
ARS,10.68,2015-08-25
BRL,4.15,2015-08-25
CLP,811.89,2015-08-25
COP,3646.63,2015-08-25
CRC,613.42,2015-08-25
DOP,51.72,2015-08-25
EUR,1.0,2015-08-25
MXN,19.81,2015-08-25
PEN,3.78,2015-08-25
PYG,6133.57,2015-08-25
USD,1.15,2015-08-25
UYU,32.83,2015-08-25
VEF,7.28,2015-08-25
ARS,10.51,2015-08-26
BRL,4.06,2015-08-26
CLP,798.33,2015-08-26
COP,3654.94,2015-08-26
CRC,603.28,2015-08-26
DOP,50.92,2015-08-26
EUR,1.0,2015-08-26
MXN,19.31,2015-08-26
PEN,3.73,2015-08-26
PYG,6102.8,2015-08-26
USD,1.13,2015-08-26
UYU,32.3,2015-08-26
VEF,7.16,2015-08-26
ARS,10.44,2015-08-27
BRL,4.01,2015-08-27
CLP,783.31,2015-08-27
COP,3576.09,2015-08-27
CRC,599.24,2015-08-27
DOP,50.52,2015-08-27
EUR,1.0,2015-08-27
MXN,19.03,2015-08-27
PEN,3.69,2015-08-27
PYG,6031.57,2015-08-27
USD,1.12,2015-08-27
UYU,32.08,2015-08-27
VEF,7.11,2015-08-27
ARS,10.39,2015-08-28
BRL,4.01,2015-08-28
CLP,775.19,2015-08-28
COP,3502.68,2015-08-28
CRC,597.01,2015-08-28
DOP,50.32,2015-08-28
EUR,1.0,2015-08-28
MXN,18.78,2015-08-28
PEN,3.65,2015-08-28
PYG,6026.42,2015-08-28
USD,1.12,2015-08-28
UYU,31.9,2015-08-28
VEF,7.07,2015-08-28
ARS,10.39,2015-08-29
BRL,4.0,2015-08-29
CLP,773.79,2015-08-29
COP,3493.63,2015-08-29
CRC,596.79,2015-08-29
DOP,50.3,2015-08-29
EUR,1.0,2015-08-29
MXN,18.76,2015-08-29
PEN,3.65,2015-08-29
PYG,6030.49,2015-08-29
USD,1.12,2015-08-29
UYU,31.88,2015-08-29
VEF,7.07,2015-08-29
ARS,10.4,2015-08-30
BRL,4.01,2015-08-30
CLP,774.58,2015-08-30
COP,3474.25,2015-08-30
CRC,596.99,2015-08-30
DOP,50.33,2015-08-30
EUR,1.0,2015-08-30
MXN,18.75,2015-08-30
PEN,3.63,2015-08-30
PYG,6015.97,2015-08-30
USD,1.12,2015-08-30
UYU,31.91,2015-08-30
VEF,7.07,2015-08-30
ARS,10.43,2015-08-31
BRL,4.05,2015-08-31
CLP,776.59,2015-08-31
COP,3466.06,2015-08-31
CRC,599.27,2015-08-31
DOP,50.43,2015-08-31
EUR,1.0,2015-08-31
MXN,18.78,2015-08-31
PEN,3.64,2015-08-31
PYG,6038.51,2015-08-31
USD,1.12,2015-08-31
UYU,31.96,2015-08-31
VEF,7.09,2015-08-31
ARS,10.52,2015-09-01
BRL,4.16,2015-09-01
CLP,782.73,2015-09-01
COP,3526.46,2015-09-01
CRC,604.65,2015-09-01
DOP,50.9,2015-09-01
EUR,1.0,2015-09-01
MXN,19.12,2015-09-01
PEN,3.68,2015-09-01
PYG,6103.98,2015-09-01
USD,1.13,2015-09-01
UYU,32.28,2015-09-01
VEF,7.14,2015-09-01
ARS,10.44,2015-09-02
BRL,4.19,2015-09-02
CLP,774.71,2015-09-02
COP,3517.76,2015-09-02
CRC,600.11,2015-09-02
DOP,50.52,2015-09-02
EUR,1.0,2015-09-02
MXN,18.88,2015-09-02
PEN,3.64,2015-09-02
PYG,6019.56,2015-09-02
USD,1.12,2015-09-02
UYU,32.09,2015-09-02
VEF,7.09,2015-09-02
ARS,10.36,2015-09-03
BRL,4.15,2015-09-03
CLP,766.26,2015-09-03
COP,3445.71,2015-09-03
CRC,595.45,2015-09-03
DOP,50.08,2015-09-03
EUR,1.0,2015-09-03
MXN,18.71,2015-09-03
PEN,3.58,2015-09-03
PYG,5983.38,2015-09-03
USD,1.11,2015-09-03
UYU,31.82,2015-09-03
VEF,7.03,2015-09-03
ARS,10.4,2015-09-04
BRL,4.27,2015-09-04
CLP,771.3,2015-09-04
COP,3494.74,2015-09-04
CRC,597.61,2015-09-04
DOP,50.26,2015-09-04
EUR,1.0,2015-09-04
MXN,18.87,2015-09-04
PEN,3.59,2015-09-04
PYG,6009.33,2015-09-04
USD,1.11,2015-09-04
UYU,31.95,2015-09-04
VEF,7.05,2015-09-04
ARS,10.4,2015-09-05
BRL,4.27,2015-09-05
CLP,772.13,2015-09-05
COP,3498.28,2015-09-05
CRC,597.92,2015-09-05
DOP,50.28,2015-09-05
EUR,1.0,2015-09-05
MXN,18.87,2015-09-05
PEN,3.59,2015-09-05
PYG,6008.73,2015-09-05
USD,1.11,2015-09-05
UYU,31.98,2015-09-05
VEF,7.05,2015-09-05
ARS,10.4,2015-09-06
BRL,4.28,2015-09-06
CLP,772.01,2015-09-06
COP,3478.05,2015-09-06
CRC,597.46,2015-09-06
DOP,50.22,2015-09-06
EUR,1.0,2015-09-06
MXN,18.87,2015-09-06
PEN,3.58,2015-09-06
PYG,5999.63,2015-09-06
USD,1.11,2015-09-06
UYU,31.94,2015-09-06
VEF,7.04,2015-09-06
ARS,10.41,2015-09-07
BRL,4.29,2015-09-07
CLP,775.09,2015-09-07
COP,3502.14,2015-09-07
CRC,599.1,2015-09-07
DOP,50.37,2015-09-07
EUR,1.0,2015-09-07
MXN,18.96,2015-09-07
PEN,3.6,2015-09-07
PYG,6019.98,2015-09-07
USD,1.12,2015-09-07
UYU,32.02,2015-09-07
VEF,7.06,2015-09-07
ARS,10.46,2015-09-08
BRL,4.29,2015-09-08
CLP,774.73,2015-09-08
COP,3490.78,2015-09-08
CRC,601.65,2015-09-08
DOP,50.56,2015-09-08
EUR,1.0,2015-09-08
MXN,18.88,2015-09-08
PEN,3.61,2015-09-08
PYG,6061.32,2015-09-08
USD,1.12,2015-09-08
UYU,32.06,2015-09-08
VEF,7.08,2015-09-08
ARS,10.47,2015-09-09
BRL,4.25,2015-09-09
CLP,773.45,2015-09-09
COP,3485.09,2015-09-09
CRC,601.93,2015-09-09
DOP,50.6,2015-09-09
EUR,1.0,2015-09-09
MXN,18.93,2015-09-09
PEN,3.61,2015-09-09
PYG,6083.17,2015-09-09
USD,1.12,2015-09-09
UYU,32.16,2015-09-09
VEF,7.09,2015-09-09
ARS,10.56,2015-09-10
BRL,4.34,2015-09-10
CLP,774.44,2015-09-10
COP,3465.58,2015-09-10
CRC,605.94,2015-09-10
DOP,50.91,2015-09-10
EUR,1.0,2015-09-10
MXN,18.92,2015-09-10
PEN,3.63,2015-09-10
PYG,6167.39,2015-09-10
USD,1.13,2015-09-10
UYU,32.35,2015-09-10
VEF,7.13,2015-09-10
ARS,10.6,2015-09-11
BRL,4.38,2015-09-11
CLP,780.07,2015-09-11
COP,3467.96,2015-09-11
CRC,607.18,2015-09-11
DOP,51.18,2015-09-11
EUR,1.0,2015-09-11
MXN,19.1,2015-09-11
PEN,3.64,2015-09-11
PYG,6234.4,2015-09-11
USD,1.13,2015-09-11
UYU,32.56,2015-09-11
VEF,7.16,2015-09-11
ARS,10.6,2015-09-12
BRL,4.39,2015-09-12
CLP,779.54,2015-09-12
COP,3456.59,2015-09-12
CRC,607.53,2015-09-12
DOP,51.2,2015-09-12
EUR,1.0,2015-09-12
MXN,19.07,2015-09-12
PEN,3.64,2015-09-12
PYG,6255.86,2015-09-12
USD,1.13,2015-09-12
UYU,32.58,2015-09-12
VEF,7.16,2015-09-12
ARS,10.61,2015-09-13
BRL,4.39,2015-09-13
CLP,780.62,2015-09-13
COP,3448.76,2015-09-13
CRC,607.89,2015-09-13
DOP,51.28,2015-09-13
EUR,1.0,2015-09-13
MXN,19.11,2015-09-13
PEN,3.65,2015-09-13
PYG,6277.38,2015-09-13
USD,1.14,2015-09-13
UYU,32.57,2015-09-13
VEF,7.17,2015-09-13
ARS,10.59,2015-09-14
BRL,4.33,2015-09-14
CLP,778.27,2015-09-14
COP,3433.94,2015-09-14
CRC,605.14,2015-09-14
DOP,51.09,2015-09-14
EUR,1.0,2015-09-14
MXN,18.96,2015-09-14
PEN,3.63,2015-09-14
PYG,6268.39,2015-09-14
USD,1.13,2015-09-14
UYU,32.6,2015-09-14
VEF,7.15,2015-09-14
ARS,10.55,2015-09-15
BRL,4.35,2015-09-15
CLP,772.1,2015-09-15
COP,3412.35,2015-09-15
CRC,600.53,2015-09-15
DOP,50.87,2015-09-15
EUR,1.0,2015-09-15
MXN,18.84,2015-09-15
PEN,3.62,2015-09-15
PYG,6267.47,2015-09-15
USD,1.13,2015-09-15
UYU,32.45,2015-09-15
VEF,7.12,2015-09-15
ARS,10.58,2015-09-16
BRL,4.33,2015-09-16
CLP,766.41,2015-09-16
COP,3373.04,2015-09-16
CRC,602.21,2015-09-16
DOP,51.02,2015-09-16
EUR,1.0,2015-09-16
MXN,18.74,2015-09-16
PEN,3.62,2015-09-16
PYG,6289.54,2015-09-16
USD,1.13,2015-09-16
UYU,32.57,2015-09-16
VEF,7.13,2015-09-16
ARS,10.7,2015-09-17
BRL,4.44,2015-09-17
CLP,774.85,2015-09-17
COP,3418.52,2015-09-17
CRC,608.84,2015-09-17
DOP,51.64,2015-09-17
EUR,1.0,2015-09-17
MXN,18.96,2015-09-17
PEN,3.65,2015-09-17
PYG,6345.11,2015-09-17
USD,1.14,2015-09-17
UYU,32.95,2015-09-17
VEF,7.21,2015-09-17
ARS,10.61,2015-09-18
BRL,4.44,2015-09-18
CLP,767.16,2015-09-18
COP,3376.8,2015-09-18
CRC,601.87,2015-09-18
DOP,51.07,2015-09-18
EUR,1.0,2015-09-18
MXN,18.81,2015-09-18
PEN,3.61,2015-09-18
PYG,6235.89,2015-09-18
USD,1.13,2015-09-18
UYU,32.55,2015-09-18
VEF,7.14,2015-09-18
ARS,10.61,2015-09-19
BRL,4.45,2015-09-19
CLP,767.34,2015-09-19
COP,3365.68,2015-09-19
CRC,601.68,2015-09-19
DOP,51.05,2015-09-19
EUR,1.0,2015-09-19
MXN,18.81,2015-09-19
PEN,3.6,2015-09-19
PYG,6225.74,2015-09-19
USD,1.13,2015-09-19
UYU,32.54,2015-09-19
VEF,7.14,2015-09-19
ARS,10.6,2015-09-20
BRL,4.45,2015-09-20
CLP,766.66,2015-09-20
COP,3370.04,2015-09-20
CRC,600.95,2015-09-20
DOP,51.05,2015-09-20
EUR,1.0,2015-09-20
MXN,18.79,2015-09-20
PEN,3.6,2015-09-20
PYG,6210.04,2015-09-20
USD,1.13,2015-09-20
UYU,32.56,2015-09-20
VEF,7.13,2015-09-20
ARS,10.51,2015-09-21
BRL,4.45,2015-09-21
CLP,764.59,2015-09-21
COP,3356.75,2015-09-21
CRC,596.23,2015-09-21
DOP,50.58,2015-09-21
EUR,1.0,2015-09-21
MXN,18.63,2015-09-21
PEN,3.58,2015-09-21
PYG,6186.94,2015-09-21
USD,1.12,2015-09-21
UYU,32.24,2015-09-21
VEF,7.07,2015-09-21
ARS,10.45,2015-09-22
BRL,4.49,2015-09-22
CLP,773.64,2015-09-22
COP,3393.45,2015-09-22
CRC,594.62,2015-09-22
DOP,50.37,2015-09-22
EUR,1.0,2015-09-22
MXN,18.75,2015-09-22
PEN,3.58,2015-09-22
PYG,6165.27,2015-09-22
USD,1.11,2015-09-22
UYU,32.12,2015-09-22
VEF,7.03,2015-09-22
ARS,10.51,2015-09-23
BRL,4.64,2015-09-23
CLP,784.14,2015-09-23
COP,3454.05,2015-09-23
CRC,598.92,2015-09-23
DOP,50.6,2015-09-23
EUR,1.0,2015-09-23
MXN,19.07,2015-09-23
PEN,3.6,2015-09-23
PYG,6207.71,2015-09-23
USD,1.12,2015-09-23
UYU,32.29,2015-09-23
VEF,7.07,2015-09-23
ARS,10.5,2015-09-24
BRL,4.43,2015-09-24
CLP,780.0,2015-09-24
COP,3466.36,2015-09-24
CRC,598.07,2015-09-24
DOP,50.56,2015-09-24
EUR,1.0,2015-09-24
MXN,18.85,2015-09-24
PEN,3.59,2015-09-24
PYG,6233.88,2015-09-24
USD,1.12,2015-09-24
UYU,32.32,2015-09-24
VEF,7.06,2015-09-24
ARS,10.53,2015-09-25
BRL,4.45,2015-09-25
CLP,785.64,2015-09-25
COP,3450.11,2015-09-25
CRC,597.46,2015-09-25
DOP,50.65,2015-09-25
EUR,1.0,2015-09-25
MXN,19.03,2015-09-25
PEN,3.6,2015-09-25
PYG,6255.09,2015-09-25
USD,1.12,2015-09-25
UYU,32.33,2015-09-25
VEF,7.07,2015-09-25
ARS,10.53,2015-09-26
BRL,4.45,2015-09-26
CLP,784.68,2015-09-26
COP,3455.95,2015-09-26
CRC,597.34,2015-09-26
DOP,50.69,2015-09-26
EUR,1.0,2015-09-26
MXN,18.98,2015-09-26
PEN,3.61,2015-09-26
PYG,6277.5,2015-09-26
USD,1.12,2015-09-26
UYU,32.37,2015-09-26
VEF,7.07,2015-09-26
ARS,10.53,2015-09-27
BRL,4.45,2015-09-27
CLP,785.06,2015-09-27
COP,3438.99,2015-09-27
CRC,596.1,2015-09-27
DOP,50.65,2015-09-27
EUR,1.0,2015-09-27
MXN,19.0,2015-09-27
PEN,3.6,2015-09-27
PYG,6279.5,2015-09-27
USD,1.12,2015-09-27
UYU,32.35,2015-09-27
VEF,7.07,2015-09-27
ARS,10.58,2015-09-28
BRL,4.59,2015-09-28
CLP,792.17,2015-09-28
COP,3488.98,2015-09-28
CRC,599.36,2015-09-28
DOP,50.85,2015-09-28
EUR,1.0,2015-09-28
MXN,19.17,2015-09-28
PEN,3.64,2015-09-28
PYG,6317.33,2015-09-28
USD,1.12,2015-09-28
UYU,32.62,2015-09-28
VEF,7.1,2015-09-28
ARS,10.6,2015-09-29
BRL,4.56,2015-09-29
CLP,792.72,2015-09-29
COP,3497.67,2015-09-29
CRC,600.4,2015-09-29
DOP,50.91,2015-09-29
EUR,1.0,2015-09-29
MXN,19.16,2015-09-29
PEN,3.64,2015-09-29
PYG,6324.59,2015-09-29
USD,1.13,2015-09-29
UYU,32.55,2015-09-29
VEF,7.11,2015-09-29
ARS,10.53,2015-09-30
BRL,4.45,2015-09-30
CLP,779.59,2015-09-30
COP,3448.32,2015-09-30
CRC,596.46,2015-09-30
DOP,50.58,2015-09-30
EUR,1.0,2015-09-30
MXN,18.93,2015-09-30
PEN,3.61,2015-09-30
PYG,6276.88,2015-09-30
USD,1.12,2015-09-30
UYU,32.38,2015-09-30
VEF,7.06,2015-09-30
ARS,10.55,2015-10-01
BRL,4.49,2015-10-01
CLP,780.25,2015-10-01
COP,3441.84,2015-10-01
CRC,597.98,2015-10-01
DOP,50.66,2015-10-01
EUR,1.0,2015-10-01
MXN,18.93,2015-10-01
PEN,3.62,2015-10-01
PYG,6312.59,2015-10-01
USD,1.12,2015-10-01
UYU,32.5,2015-10-01
VEF,7.07,2015-10-01
ARS,10.58,2015-10-02
BRL,4.42,2015-10-02
CLP,774.3,2015-10-02
COP,3422.31,2015-10-02
CRC,600.07,2015-10-02
DOP,50.77,2015-10-02
EUR,1.0,2015-10-02
MXN,18.81,2015-10-02
PEN,3.62,2015-10-02
PYG,6334.57,2015-10-02
USD,1.12,2015-10-02
UYU,32.61,2015-10-02
VEF,7.08,2015-10-02
ARS,10.58,2015-10-03
BRL,4.42,2015-10-03
CLP,773.37,2015-10-03
COP,3410.65,2015-10-03
CRC,599.86,2015-10-03
DOP,50.74,2015-10-03
EUR,1.0,2015-10-03
MXN,18.81,2015-10-03
PEN,3.62,2015-10-03
PYG,6318.97,2015-10-03
USD,1.12,2015-10-03
UYU,32.61,2015-10-03
VEF,7.08,2015-10-03
ARS,10.58,2015-10-04
BRL,4.41,2015-10-04
CLP,772.86,2015-10-04
COP,3402.19,2015-10-04
CRC,600.19,2015-10-04
DOP,50.76,2015-10-04
EUR,1.0,2015-10-04
MXN,18.8,2015-10-04
PEN,3.62,2015-10-04
PYG,6315.09,2015-10-04
USD,1.12,2015-10-04
UYU,32.65,2015-10-04
VEF,7.08,2015-10-04
ARS,10.6,2015-10-05
BRL,4.38,2015-10-05
CLP,765.83,2015-10-05
COP,3346.16,2015-10-05
CRC,599.04,2015-10-05
DOP,50.64,2015-10-05
EUR,1.0,2015-10-05
MXN,18.76,2015-10-05
PEN,3.61,2015-10-05
PYG,6288.22,2015-10-05
USD,1.12,2015-10-05
UYU,32.59,2015-10-05
VEF,7.07,2015-10-05
ARS,10.64,2015-10-06
BRL,4.36,2015-10-06
CLP,767.97,2015-10-06
COP,3325.43,2015-10-06
CRC,603.63,2015-10-06
DOP,50.95,2015-10-06
EUR,1.0,2015-10-06
MXN,18.79,2015-10-06
PEN,3.63,2015-10-06
PYG,6324.77,2015-10-06
USD,1.13,2015-10-06
UYU,32.83,2015-10-06
VEF,7.12,2015-10-06
ARS,10.61,2015-10-07
BRL,4.37,2015-10-07
CLP,763.94,2015-10-07
COP,3292.27,2015-10-07
CRC,602.09,2015-10-07
DOP,50.95,2015-10-07
EUR,1.0,2015-10-07
MXN,18.74,2015-10-07
PEN,3.62,2015-10-07
PYG,6330.22,2015-10-07
USD,1.12,2015-10-07
UYU,32.77,2015-10-07
VEF,7.1,2015-10-07
